,EDA_Raw,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
117,0.395531,0.3940430111934723,0.0014883369090075782,0,1,0,0,0,0,0
118,0.394252,0.3940194029237385,0.0002331979573159355,0,0,0,0,0,0,0
119,0.394252,0.39399709555181855,0.0002557838808230181,0,0,0,0,0,0,0
120,0.394252,0.3939760132412499,0.0002771717254473703,0,0,0,0,0,0,0
121,0.394252,0.39395609289929745,0.000297425759334247,0,0,0,0,0,0,0
122,0.394252,0.39393728193408506,0.00031659970405167003,0,0,0,0,0,0,0
123,0.394252,0.39391953901513493,0.00033473596130663224,0,0,0,0,0,1,0
124,0.392973,0.3939028317434811,-0.0009271320710289242,0,0,0,0,0,0,0
125,0.390415,0.39388711904133233,-0.0034689624035974436,1,0,0,0,0,0,0
126,0.391694,0.39387231216703145,-0.0021746654867255844,0,0,0,0,0,0,0
127,0.394252,0.3938582448367366,0.00039792565045571526,0,0,0,0,0,0,0
128,0.394252,0.3938446890317156,0.00041203957401890695,0,0,0,0,0,0,0
129,0.394252,0.39383139820982316,0.00042592321378036465,0,1,0,0,1,0,0
130,0.392973,0.393818132210358,-0.0008391830628445372,1,0,0,0,0,0,0
131,0.395531,0.3938046577654031,0.001732954015210938,0,0,0,0,0,0,0
132,0.395531,0.39379075510591055,0.0017475539926455727,0,1,0,0,0,0,0
133,0.392973,0.3937762367671238,-0.000795196142892615,1,0,0,0,0,0,0
134,0.394252,0.39376094812224127,0.0004998574789507873,0,0,0,0,0,0,0
135,0.395531,0.39374475269937187,0.001795850266403619,0,1,0,0,0,0,0
136,0.392973,0.3937275327670725,-0.0007441014491177595,1,0,0,0,0,0,0
137,0.392973,0.39370918995410276,-0.0007249010631388745,0,0,0,0,0,0,0
138,0.394252,0.3936896276204044,0.0005745458993432179,0,0,0,0,0,0,0
139,0.394252,0.39366874241459643,0.0005963401937075813,0,0,0,0,0,0,0
140,0.394252,0.3936464372134778,0.0006195758825270968,0,1,0,0,1,0,0
141,0.392973,0.39362263106393863,-0.0006346696409471755,1,0,0,0,0,0,0
142,0.394252,0.3935972539391486,0.0006706695556153781,0,0,0,0,0,0,0
143,0.394252,0.39357024155176573,0.0006986530943352559,0,0,0,0,0,0,0
144,0.395531,0.39354154546649334,0.0020073241379731386,0,1,0,0,0,0,0
145,0.392973,0.39351114937050735,-0.0005193069174261512,0,0,0,0,0,0,0
146,0.392973,0.39347906711999986,-0.0004862605261383673,0,0,0,0,0,1,0
147,0.391694,0.3934453164676744,-0.0017305617572224564,1,0,0,0,0,0,0
148,0.394252,0.39340989285445743,0.0008637858771458161,0,0,0,0,0,0,0
149,0.394252,0.3933727706964535,0.0009017990987220908,0,0,0,0,0,0,0
150,0.394252,0.39333392911938075,0.0009414890936954254,0,1,0,0,0,0,0
151,0.392973,0.39329337166185685,-0.00029615822438820336,0,0,0,0,0,0,0
152,0.391694,0.39325111861257517,-0.0015321745839502426,1,0,0,0,0,0,0
153,0.395531,0.3932071872209398,0.0023494104038833258,0,1,0,0,0,0,0
154,0.392973,0.39316159330778966,-0.00016243239306388104,1,0,0,0,0,0,0
155,0.395531,0.3931143742755238,0.002443245337189864,0,1,0,0,0,0,0
156,0.392973,0.39306560608538177,-6.564764770140407e-05,0,0,0,0,0,1,0
157,0.391694,0.3930153989605716,-0.0012942378647377516,0,0,0,0,0,0,0
158,0.390415,0.3929638657166087,-0.002521655448520372,1,0,0,0,0,0,0
159,0.392973,0.3929110810027354,8.900659993192877e-05,0,0,0,0,0,0,0
160,0.392973,0.3928570710737464,0.00014270263983245831,0,0,0,0,0,0,0
161,0.394252,0.39280184018539166,0.0014764080002699917,0,1,0,0,0,0,0
162,0.392973,0.39274540313273837,0.00025308645420469195,0,0,0,0,0,0,0
163,0.392973,0.39268779954741556,0.0003096759416692469,0,0,0,0,0,0,0
164,0.392973,0.3926290899529062,0.00036709254382908524,0,0,0,0,0,0,0
165,0.390415,0.39256934272018434,-0.0021327564335427915,1,0,0,0,0,0,0
166,0.392973,0.39250861496955075,0.00048404668786257004,0,0,0,0,0,0,0
167,0.392973,0.3924469426559808,0.0005434399348839858,0,0,0,0,0,0,0
168,0.392973,0.39238435507555447,0.0006033672503398457,0,1,0,0,0,0,0
169,0.390415,0.3923208894080277,-0.0018942359621356305,1,0,0,0,0,0,0
170,0.392973,0.3922565809108595,0.0007245670698357092,0,1,0,0,0,0,0
171,0.391694,0.3921914500988448,-0.0004932725747109352,1,0,0,0,0,0,0
172,0.392973,0.3921255082436326,0.0008472051245985539,0,0,0,0,0,0,0
173,0.392973,0.39205877204850964,0.0009089546066290275,0,0,0,0,0,0,0
174,0.392973,0.3919912783540035,0.0009709101938954398,0,0,0,0,0,0,0
175,0.392973,0.39192309582547863,0.001032974595653615,0,1,0,0,1,0,0
176,0.391694,0.3918543275252727,-0.00018398345252956848,0,0,0,0,0,0,0
177,0.391694,0.39178510131879546,-0.0001221193610615284,0,0,0,0,0,1,0
178,0.390415,0.39171555115875534,-0.0013395937135586254,1,0,0,0,0,0,0
179,0.392973,0.3916458014346405,0.0012794436648883318,0,1,0,0,0,0,0
180,0.389135,0.39157596352399704,-0.002498142537115122,1,0,0,0,0,0,0
181,0.392973,0.3915061353947103,0.0013995276130979487,0,1,0,0,0,0,0
182,0.390415,0.39143640121328716,-0.0010996499562757542,1,0,0,0,0,0,0
183,0.392973,0.3913668401062948,0.0015162283047408652,0,1,0,0,0,0,0
184,0.391694,0.39129754101652015,0.00029405912812714447,1,0,0,0,0,0,0
185,0.391694,0.39122861449966506,0.0003497210768941649,0,0,0,0,0,0,0
186,0.392973,0.3911601984124332,0.0016830693326035117,0,1,0,0,0,0,0
187,0.391694,0.3910924635858906,0.0004569305278997851,0,0,0,0,0,0,0
188,0.385298,0.39102560423679505,-0.0058878871283816366,1,0,0,0,0,0,0
189,0.390415,0.3909597856769765,-0.0007215409935301513,0,0,0,0,0,0,0
190,0.391694,0.3908950980880941,0.0006048928318750683,0,1,0,0,0,0,0
191,0.389135,0.3908315742714324,-0.0019085976180270648,1,0,0,0,0,0,0
192,0.392973,0.3907692286886666,0.001973001442320193,0,1,0,0,0,0,0
193,0.389135,0.3907080751184582,-0.0018232874203816536,1,0,0,0,0,0,0
194,0.390415,0.39064812903096385,-0.0005034345187083558,0,0,0,0,0,0,0
195,0.390415,0.39058939772998263,-0.0004653924462066053,0,0,0,0,0,0,0
196,0.391694,0.3905318765498081,0.0008499084908376992,0,1,0,0,0,0,0
197,0.390415,0.39047556329345945,-0.000394453377218528,1,0,0,0,0,0,0
198,0.391694,0.3904204726199597,0.0009175953369946393,0,0,0,0,0,0,0
199,0.392973,0.3903666473349407,0.002228112612020842,0,1,0,0,0,0,0
